"","price","address","squares","type","year","age","bed","bath","tax"
"1","$588,000","1307 7380 Elmbridge Way, Richmond, BC","875 sq.ft.","Residential, Condo","1997","23","2","2","$1,443"
"2","$658,000","1602 1155 Seymour Street, Vancouver West, BC","575 sq.ft.","Residential, Condo","2005","15","1","1+1","$1,820"
"3","$589,900","41 Sherview Pt Nw, Calgary, AB","197.78 sq.m.","Residential, House","2017",NA,"3","2+1","$1,368"
"4","$5,998,000","1337 The Crescent, Vancouver West, BC","4,435 sq.ft.","Residential, Townhouse","1990","29","3","4","$13,060"
"5","$2,595,000","45 Woodlawn Ave E, Toronto, ON",NA,"Residential, House",NA,"100+","5","3","$12,361"
"6","$569,000","164 Arbour Butte Rd Nw, Calgary, AB","193.05 sq.m.","Residential, House","1998",NA,"4","3+1","$3,939"
"7","$618,000","1101 4132 Halifax Street, Burnaby, BC","885 sq.ft.","Residential, Condo","2005","15","1","1","$1,744"
"8","$699,900","1100 Kingston Rd, Toronto, ON",NA,"Residential, Condo",NA,"New","1+1","2","$2,675"
"9","$1,248,000","6076 Chancellor Mews, Vancouver West, BC","1,465 sq.ft.","Residential, Townhouse","2009","11","2","3+1","$2,173"
"10","$579,900","65 Bremner Blvd, Toronto, ON",NA,"Residential, Condo",NA,"6-10","1+1","1","$2,240"
"11","$749,900","2316 Sovereign Cr Sw, Calgary, AB","146.50 sq.m.","Residential, House","1956",NA,"4","3","$5,559"
"12","$1,775,000","801 1499 W Pender Street, Vancouver West, BC","1,052 sq.ft.","Residential, Condo","2011","9","2","2","$4,200"
"13","$939,800","102 5782 Berton Avenue, Vancouver West, BC","983 sq.ft.","Residential, Condo","2011","9","2","2","$1,590"
"14","$465,000","#302 2188 85 St Sw, Calgary, AB","123.93 sq.m.","Residential, House","2021",NA,"3","2+1",NA
"15","$2,875,000","3202 667 Howe Street, Vancouver West, BC","1,482 sq.ft.","Residential, Condo","2013","7","2","2","$6,940"
"16","$2,698,000","302 1717 Bayshore Drive, Vancouver West, BC","2,050 sq.ft.","Residential, Condo","2000","20","2","3+1","$10,074"
"17","$515,000","160 Vanderhoof Ave, Toronto, ON",NA,"Residential, Condo",NA,"0-5","1","1","$1,545"
"18","$599,000","306 3680 W 7th Avenue, Vancouver West, BC","760 sq.ft.","Residential, Condo","1976","44","2","1","$1,467"
"19","$818,000","301 221 E 3rd Street, North Vancouver, BC","921 sq.ft.","Residential, Condo","2014","6","2","2","$2,559"
"20","$2,295,000","6695 Madrona Crescent, West Vancouver, BC","3,552 sq.ft.","Residential, House","1990","30","3","3+1","$5,229"
"21","$488,000","7312 34 AV NW, Calgary, AB","1,812 sq.ft.","Residential, House","2007",NA,"3","3","$3,463"
"22","$808,000","1506 1480 Howe Street, Vancouver West, BC","543 sq.ft.","Residential, Condo","2020",NA,"1","1",NA
"23","$599,900","11 Brunel Crt, Toronto, ON",NA,"Residential, Condo",NA,NA,"1+1","1","$1,925"
"24","$899,000","108 4233 Bayview Street, Richmond, BC","1,142 sq.ft.","Residential, Condo","2005","15","2","2","$2,420"
"25","$829,900","104 217 Clarkson Street, New Westminster, BC","1,290 sq.ft.","Residential, Townhouse","2019","1","3","3+1",NA
"26","$559,900","6 Eva Rd, Toronto, ON",NA,"Residential, Condo",NA,"6-10","2","2","$1,931"
"27","$778,000","1907 4189 Halifax Street, Burnaby, BC","942 sq.ft.","Residential, Condo","2015","5","2","2","$1,951"
"28","$799,900","75 Chelsea St Nw, Calgary, AB","136.66 sq.m.","Residential, House","1958",NA,"4","3","$3,806"
"29","$778,000","906 150 24th Street, West Vancouver, BC","532 sq.ft.","Residential, Condo","1963","57",NA,"1","$1,856"
"30","$1,330,000","1210 Beaufort Road, North Vancouver, BC","2,200 sq.ft.","Residential, House","1993","27","4","3+1","$5,582"
"31","$589,900","55 Bremner Blvd, Toronto, ON",NA,"Residential, Condo",NA,"6-10","1","1","$1,955"
"32","$509,900","307 20331 Dewdney Trunk Road, Maple Ridge, BC","990 sq.ft.","Residential, Condo","2016","4","2","2","$2,852"
"33","$569,000","101 10177 River Drive, Richmond, BC","741 sq.ft.","Residential, Condo","2019","1","1","1","$1,377"
"34","$679,000","16 Mcadam Ave, Toronto, ON",NA,"Residential, Condo",NA,"0-5","2+1","2","$2,979"
