"","price","address","squares","type","year","age","bed","bath","tax"
"1","$389,000","#2102 5305 32 Av Sw, Calgary, AB","103.96 sq.m.","Residential, House","2015",NA,"3","2+1","$2,771"
"2","$389,000","#203 39 Quarry Ga Se, Calgary, AB","96.62 sq.m.","Residential, Condo","2015",NA,"2","2","$2,478"
"3","$389,000","#1 512 56 Av Sw, Calgary, AB","98.85 sq.m.","Residential, House","2004",NA,"2","3+1","$2,475"
"4","$389,000","195 Rue Peel, Apt. 508, Le Sud-Ouest, QC","595 sq.ft.","Residential, Condo","2018",NA,"1","1","$2,167"
"5","$389,000","6304 Tregillus St Nw, Calgary, AB","96.52 sq.m.","Residential, House","1966",NA,"3","1","$2,847"
"6","$389,000","152 Arbour Wood Me Nw, Calgary, AB","118.63 sq.m.","Residential, House","1996",NA,"4","3+1","$2,545"
"7","$389,000","47 Tuscany Valley Ln Nw, Calgary, AB","113.06 sq.m.","Residential, House","1997",NA,"4","2+1","$2,578"
"8","$389,500","261 Auburn Meadows Pl Se, Calgary, AB","118.35 sq.m.","Residential, House","2014",NA,"2","2+1","$2,628"
"9","$389,500","967 Ch. des Cèdres, Sainte-Adèle, QC",NA,"Residential, House",NA,NA,"2","2","$2,997"
"10","$389,800","2823 12 AV SE, Calgary, AB","998 sq.ft.","Residential, House","1976",NA,"7","2","$2,029"
"11","$389,800","104 Copperpond Pa Se, Calgary, AB","147.71 sq.m.","Residential, House","2013",NA,"3","2+1","$2,648"
"12","$389,801","#801 303 13 Av Sw, Calgary, AB","78.22 sq.m.","Residential, Condo","2015",NA,"2","2","$2,618"
"13","$389,850","#131 20 Discovery Ridge Cl Sw, Calgary, AB","118.91 sq.m.","Residential, Condo","2006",NA,"2","2","$2,169"
"14","$389,888","896 Rundlecairn Wy Ne, Calgary, AB","97.08 sq.m.","Residential, House","1975",NA,"5","2","$2,042"
"15","$389,900","#2002 901 10 AV SW, Calgary, AB","675 sq.ft.","Residential, Condo","2016",NA,"2","1","$2,425"
"16","$389,900","336 Woodfield Pl Sw, Calgary, AB","85.93 sq.m.","Residential, House","1977",NA,"4","2","$2,475"
"17","$389,900","344 Prominence Ht Sw, Calgary, AB","108.97 sq.m.","Residential, House","1996",NA,"3","3","$2,362"
"18","$389,900","#1205 930 16 Av Sw, Calgary, AB","53.14 sq.m.","Residential, Condo","2019",NA,"1","1","$2,792"
"19","$389,900","2223 15a St Se, Calgary, AB","77.48 sq.m.","Residential, House","1912",NA,"2","1","$2,621"
"20","$389,900","#1710 225 11 Av Se, Calgary, AB","73.11 sq.m.","Residential, Condo","2013",NA,"2","2","$2,362"
"21","$389,900","89 Martin Crossing Wy Ne, Calgary, AB","120.49 sq.m.","Residential, House","1998",NA,"4","2+1","$2,415"
"22","$389,900","2116 52 ST NW, Calgary, AB","773 sq.ft.","Residential, House","1953",NA,"3","2","$2,565"
"23","$389,900","8 Martindale Dr Ne, Calgary, AB","131.55 sq.m.","Residential, House","1986",NA,"5","3","$2,279"
"24","$389,900","243 Taracove Estate Dr Ne, Calgary, AB","104.98 sq.m.","Residential, House","2002",NA,"5","3","$2,495"
"25","$389,900","#203 836 Royal Av Sw, Calgary, AB","82.68 sq.m.","Residential, Condo","2013",NA,"2","2","$2,743"
"26","$389,900","#1412 95 Burma Star Rd Sw, Calgary, AB","64.66 sq.m.","Residential, Condo","2016",NA,"2","1","$2,252"
"27","$389,900","15 Savanna St Ne, Calgary, AB","120.96 sq.m.","Residential, House","2016",NA,"3","2+1","$2,235"
"28","$389,900","121 Saratoga Cl Ne, Calgary, AB","95.22 sq.m.","Residential, House","1995",NA,"4","2","$2,425"
"29","$389,900","#1208 1111 10 St Sw, Calgary, AB","79.89 sq.m.","Residential, Condo","2012",NA,"2","2","$2,538"
"30","$390,000","#615 222 Riverfront AV SW, Calgary, AB","680 sq.ft.","Residential, Condo","2011",NA,"1","1","$2,438"
"31","$390,000","13 Legacy Ga Se, Calgary, AB","128.39 sq.m.","Residential, House","2013",NA,"3","2+1","$2,674"
"32","$390,000","4505 Stanley Rd Sw, Calgary, AB","92.99 sq.m.","Residential, House","1955",NA,"2","1","$2,941"
"33","$390,000","#21 643 4 Av Ne, Calgary, AB","101.17 sq.m.","Residential, House","1975",NA,"2","1+1","$1,057"
"34","$390,000","292 Woodbine Bv Sw, Calgary, AB","136.56 sq.m.","Residential, House","1981",NA,"3","3","$2,768"
"35","$392,385","#2902 1188 3 St Se, Calgary, AB","74.04 sq.m.","Residential, Condo","2016",NA,"2","2","$2,808"
"36","$394,000","57 Cranford Pl Se, Calgary, AB","134.89 sq.m.","Residential, House","2011",NA,"3","2+1","$2,558"
"37","$394,900","104 Taradale DR NE, Calgary, AB","1,326 sq.ft.","Residential, House","2005",NA,"4","4","$2,475"
"38","$394,900","564 Evanston Dr Nw, Calgary, AB","108.14 sq.m.","Residential, House","2012",NA,"4","2+1","$2,455"
"39","$394,900","256 Deersaxon Ci Se, Calgary, AB","157.28 sq.m.","Residential, House","1983",NA,"4","3","$2,807"
"40","$395,000","Ch. de la Baie-des-Ours, Lac-Tremblant-Nord, QC",NA,"Lots & Land, Lots & Land-Other",NA,NA,NA,NA,"$1,736"
"41","$395,000","Ch. de la Pointe-Manitou, Nominingue, QC",NA,"Lots & Land, Lots & Land-Other",NA,NA,NA,NA,"$2,091"
"42","$395,000","23 Martin Crossing Pa Ne, Calgary, AB","118.54 sq.m.","Residential, House","1996",NA,"3","2+1","$2,312"
