"","price","address","squares","type","year","age","bed","bath","tax"
"1","$1,059,000","379 Pettit Trail, Milton, ON","2,275 sq.ft.","Residential, House",NA,"6-15 yrs","4","3+1","$4,434"
"2","$929,000 or $3,300/mo","1575 Lakeshore Rd W, Mississauga, ON",NA,"Residential, Condo",NA,"1","2+1","2",NA
"3","$3,945,000","74 Pricefield Rd, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","4+1","$11,952"
"4","$6,295,000","22 Deanbank Dr, Markham, ON",NA,"Residential, House",NA,NA,"4+2","5","$21,038"
"5","$799,000","360A Dundas St E, Toronto, ON",NA,"Residential, Townhouse",NA,NA,"2","2","$2,180"
"6","$1,650,000","7A Prince Street, Halton Hills, ON","2,450 sq.ft.","Residential, House",NA,NA,"4","3+1","$7,132"
"7","$797,000","55 Regent Park Blvd #2602, Toronto, ON",NA,"Residential, Condo",NA,"6-10","2","2","$2,579"
"8","$728,000","32 Orca Dr, Markham, ON",NA,"Residential, House",NA,"6-15","3","3","$3,731"
"9","$900,000","16 Hillson Crt, Brampton, ON",NA,"Residential, House",NA,NA,"3","3","$5,520"
"10","$929,000","1048 Broadview Ave, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","2","$3,334"
"11","$5,295,000","158 Glen Rd, Toronto, ON",NA,"Residential, House",NA,NA,"6+1","5","$20,269"
"12","$2,695,000","35 Marlborough Avenue, Toronto, ON",NA,"Residential, House",NA,"16-30","3","3","$9,607"
"13","$1,300,000","88 Cumberland St #1201, Toronto, ON",NA,"Residential, Condo",NA,"New","2","2",NA
"14","$1,799,999","9544 Hutsell Rd, Northumberland, ON","3,256 sq.ft.","Farm & Agriculture, Farm / Ranch","1959","100+","3","3","$12,413"
"15","$1,198,000","16 John Smith St, East Gwillimbury, ON",NA,"Residential, House",NA,"0-5","4+1","4","$5,822"
"16","$1,049,000","1356 Monaghan Circle, Mississauga, ON","1,486 sq.ft.","Residential, House",NA,NA,"4+1","4","$5,030"
"17","$1,325,000","68 Curzon St, Toronto, ON",NA,"Residential, House",NA,"16-30","3","3","$5,319"
"18","$4,495,000","330 Byng Ave, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","7","$16,066"
